Acronyme,Nomdelorganisation,Typedorganisation,adm1code,adm2code,date,Secteur
SCH,SERVICE CHRETIEN D'HAITI,ONG Nationale,HT01,HT0131,11may2023,Protection générale
TF,TEARFUND,ONG Internationale,HT03,HT0372,01sep2020,Protection générale
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT08,HT0831,11may2023,Protection générale
CONCERN,CONCERN WORLDWIDE,ONG Internationale,HT06,HT0633,11may2023,Protection générale
PESADEV,PERSPECTIVES POUR LA SANTÉ ET LE DÉVELOPPEMENT,ONG Nationale,HT01,HT0114,24jun2022,Protection générale
OOI,OVERTURE OUTREACH INTERNATIONAL,ONG Internationale,HT07,HT0741,01sep2020,Protection générale
UNESCO,"ORGANISATION DES NATIONS UNIES POUR L'EDUCATION, LA SCIENCE ET LA CULTURE",Nations Unies,HT07,HT0751,11may2023,Protection générale
RHI,RAPHA HOUSE INTERNATIONAL,ONG Internationale,HT01,HT0152,01sep2020,Protection générale
ACF,ACTION CONTRE LA FAIM,ONG Internationale,HT03,HT0371,24jun2022,Protection générale
FNUAP,FONDS DES NATIONS UNIES POUR LA POPULATION,Nations Unies,HT10,HT1025,01sep2020,Protection générale
ACF,ACTION CONTRE LA FAIM,ONG Internationale,HT05,HT0532,24jun2022,Protection générale
FNUAP,Fonds des Nations Unies pour la population,Nations Unies,HT09,HT0922,10jul2019,Protection générale
ACF,ACTION CONTRE LA FAIM,ONG Internationale,HT05,HT0523,24jun2022,Protection générale
OVDDHMO,Organisation des Visionnaires Dévoués pour un Développement de Haute Modernisation,ONG Nationale,HT01,HT0111,01sep2024,Protection générale
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT08,HT0832,24jun2022,Protection générale
FNUAP,Fonds des Nations Unies pour la population,Nations Unies,HT02,HT0233,10jul2019,Protection générale
CWS,CHURCH WORLD SERVICE,ONG Internationale,HT01,HT0111,01sep2020,Protection générale
DEP,DÉFENSEURS PLUS,ONG Nationale,HT06,HT0633,11may2023,Protection générale
OVDDHMO,Organisation des Visionnaires Devoues pour un Developpement de Haute Modernisation,ONG Nationale,HT01,HT0141,01feb2024,Protection générale
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT02,HT0212,24jun2022,Protection générale
WVI,World Vision Internationale - Haiti,ONG Internationale,HT01,HT0152,10jul2019,Protection générale
CONCERN,CONCERN WORLDWIDE,ONG Internationale,HT01,HT0111,24jun2022,Protection générale
ACF,Action Contre la Faim,ONG Internationale,HT07,HT0733,01feb2025,Protection générale
FOSILA,FONDATION SIMONE LABBÉE,Autre Type,HT05,HT0544,01sep2020,Protection générale
RNVPDLH,RESEAU NATIONAL DES VOLONTAIRES POUR LA PROMOTION DU DEVELOPPEMENT LOCAL EN HAITI,ONG Nationale,HT04,HT0431,11may2023,Protection générale
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT02,HT0212,01sep2020,Protection générale
ESPERE,ESPERE COMMUNITY COUNSELING CENTER,ONG Internationale,HT07,HT0721,24jun2022,Protection générale
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT01,HT0142,24jun2022,Protection générale
CE-JILAP,Commission Episcopale Nationale Justice et Paix,ONG Nationale,HT06,HT0611,01feb2024,Protection générale
MOCA-HAÏTI,MOTIVATION DES CITOYENS POUR L'AVANCEMENT D'HAÏTI,ONG Nationale,HT01,HT0135,01sep2020,Protection générale
ASB,ARBEITER-SAMARITER-BUND DEUTSCHLAND E.V. (ASB),ONG Internationale,HT07,HT0742,11may2023,Protection générale
SOJER,SOLIDARITÉ POUR UNE JEUNESSE RÉSISTANTE,Société Civile,HT05,HT0531,24jun2022,Protection générale
OIM,Organisation Internationale pour les Migrations,Nations Unies,HT03,HT0321,01jun2024,Protection générale
ACF,ACTION CONTRE LA FAIM,ONG Internationale,HT02,HT0214,01sep2020,Protection générale
IMPACT,Impact Initiatives,ONG Internationale,HT01,HT0111,01feb2024,Protection générale
FZT,Fondation Zanmi Timoun ,ONG Nationale,HT10,HT1032,01jun2024,Protection générale
VIS,VOLONTARIATO INTERNAZIONALE PER LO SVILUPPO,ONG Internationale,HT01,HT0114,01sep2020,Protection générale
FNUAP,FONDS DES NATIONS UNIES POUR LA POPULATION,Nations Unies,HT08,HT0823,01sep2020,Protection générale
CARE,CARE INTERNATIONAL EN HAITI,ONG Internationale,HT04,HT0411,01sep2020,Protection générale
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT07,HT0711,24jun2022,Protection générale
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT01,HT0132,01sep2020,Protection générale
AAH,ACTIONAID HAITI,ONG Internationale,HT02,HT0211,24jun2022,Protection générale
EDUCHAITI,EDUQUER POUR CHANGER HAITI,Société Civile,HT01,HT0142,01sep2020,Protection générale
UNESCO,"ORGANISATION DES NATIONS UNIES POUR L'EDUCATION, LA SCIENCE ET LA CULTURE",Nations Unies,HT08,HT0811,11may2023,Protection générale
ASB,ARBEITER-SAMARITER-BUND DEUTSCHLAND E.V. (ASB),ONG Internationale,HT07,HT0723,11may2023,Protection générale
ALIANZA,ALIANZA POR LA SOLIDARIDAD,ONG Internationale,HT02,HT0211,24jun2022,Protection générale
CISV - PROGETTOMONDO,CISV - PROGETTOMONDO,ONG Internationale,HT02,HT0211,24jun2022,Protection générale
FZT,Fondation Zanmi Timoun ,ONG Nationale,HT10,HT1023,01sep2024,Protection générale
VIS,VOLONTARIATO INTERNAZIONALE PER LO SVILUPPO,ONG Internationale,HT01,HT0113,01sep2020,Protection générale
MOFKA/AID,MOBIIZASYON FANM KONBATAN AYITI/AKSYON IJANS AK DEVELOPMAN,ONG Nationale,HT02,HT0214,01sep2020,Protection générale
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT08,HT0832,11may2023,Protection générale
HHI,HEART TO HEART INTERNATIONAL,ONG Internationale,HT02,HT0233,01sep2020,Protection générale
ASA,ACTION SECOURS AMBULANCE,ONG Nationale,HT08,HT0812,01sep2020,Protection générale
ACTED,Agence d'Aide à la Coopération Technique et au Développement,ONG Internationale,HT06,HT0614,01feb2025,Protection générale
ICDH,INITIATIVE CITOYENNE POUR LES DROITS DE L'HOMME,ONG Nationale,HT01,HT0116,01sep2020,Protection générale
FZT,Fondation Zanmi Timoun ,ONG Nationale,HT10,HT1031,01feb2025,Protection générale
ACTED,AGENCE D'AIDE À LA COOPÉRATION TECHNIQUE ET AU DÉVELOPPEMENT,ONG Internationale,HT07,HT0753,01sep2020,Protection générale
FVCB,FONDATION VOIX DES COMMUNAUTES DE BASE,ONG Nationale,HT07,HT0733,24jun2022,Protection générale
WDA,WORLD DYNAMIC ACTION,ONG Nationale,HT03,HT0331,01sep2020,Protection générale
ACTED,Agence d'Aide à la Coopération Technique et au Développement,ONG Internationale,HT08,HT0823,01feb2025,Protection générale
WVI-H,WORLD VISION INTERNATIONAL-HAITI,ONG Internationale,HT06,HT0611,01sep2020,Protection générale
J/P HRO-CORE,J/P HAITIAN RELIEF ORGANIZATION,ONG Internationale,HT10,HT1023,11may2023,Protection générale
ESPERE,ESPERE COMMUNITY COUNSELING CENTER,ONG Internationale,HT01,HT0118,24jun2022,Protection générale
URAMEL,Unité de Recherche et d'Action Médico-Légale,ONG Nationale,HT07,HT0753,10jul2019,Protection générale
WVI-HAITI,WORLD VISION INTERNATIONAL HAITI,ONG Internationale,HT03,HT0312,11may2023,Protection générale
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT06,HT0641,24jun2022,Protection générale
FZT,Fondation Zanmi Timoun ,ONG Nationale,HT10,HT1012,01jun2024,Protection générale
ACF,Action Contre la Faim,ONG Internationale,HT05,HT0521,01jun2024,Protection générale
FNUAP,FONDS DES NATIONS UNIES POUR LA POPULATION,Nations Unies,HT07,HT0752,01sep2020,Protection générale
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT08,HT0812,24jun2022,Protection générale
CRS,Catholic Relief Services,ONG Internationale,HT01,HT0111,01sep2024,Protection générale
WVI-H,WORLD VISION INTERNATIONAL-HAITI,ONG Internationale,HT04,HT0443,01sep2020,Protection générale
FNUAP,Fonds des Nations Unies pour la population,Nations Unies,HT07,HT0742,10jul2019,Protection générale
WVI-H,WORLD VISION INTERNATIONAL-HAITI,ONG Internationale,HT01,HT0152,01sep2020,Protection générale
CONCERN,CONCERN WORLDWIDE,ONG Internationale,HT01,HT0111,11may2023,Protection générale
ACTED,Agence d'Aide à la Coopération Technique et au Développement,ONG Internationale,HT06,HT0642,01jun2024,Protection générale
TOYA,FONDATIONTOYA,ONG Nationale,HT07,HT0731,24jun2022,Protection générale
CECI,CENTRE D'ETUDE ET COOPÉRATION INTERNATIONALE,ONG Internationale,HT04,HT0421,11may2023,Protection générale
FZT,Fondation Zanmi Timoun ,ONG Nationale,HT01,HT0111,01feb2024,Protection générale
COMPASSION,COMPASSION INTERNATIONAL,ONG Internationale,HT05,HT0551,01sep2020,Protection générale
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT03,HT0352,24jun2022,Protection générale
AVSI,ASSOCIAZIONE VOLONTARI PER IL SERVIZIO INTERNAZIONALE,ONG Internationale,HT07,HT0715,01sep2020,Protection générale
CECI,CENTRE D'ETUDE ET COOPÉRATION INTERNATIONALE,ONG Internationale,HT05,HT0521,11may2023,Protection générale
TOYA,FONDATION TOYA,Société Civile,HT01,HT0111,01sep2020,Protection générale
MOFKA/AID,MOBIIZASYON FANM KONBATAN AYITI/AKSYON IJANS AK DEVELOPMAN,ONG Nationale,HT01,HT0132,01sep2020,Protection générale
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT02,HT0221,24jun2022,Protection générale
FZT,Fondation Zanmi Timoun ,ONG Nationale,HT06,HT0631,01sep2024,Protection générale
SEROVIE,FONDATION SEROVIE,ONG Nationale,HT01,HT0141,11may2023,Protection générale
TOYA,FONDATION TOYA,Société Civile,HT01,HT0131,01sep2020,Protection générale
CARE,CARE INTERNATIONAL EN HAITI,ONG Internationale,HT01,HT0113,01sep2020,Protection générale
KNH-H,KINDERNOTHILFE-HAITI,ONG Internationale,HT01,HT0117,11may2023,Protection générale
TF,TEARFUND,ONG Internationale,HT07,HT0711,01sep2020,Protection générale
ACTED,Agence d'Aide à la Coopération Technique et au Développement,ONG Internationale,HT06,HT0613,01sep2024,Protection générale
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT07,HT0742,01sep2020,Protection générale
WVI-H,WORLD VISION INTERNATIONAL-HAITI,ONG Internationale,HT06,HT0611,01sep2020,Protection générale
PRODEVA,ASSOCIATION HAITIENNE POUR LA PROMOTION D'UN DEVELOPPEMENT AUTONOME,ONG Nationale,HT05,HT0542,24jun2022,Protection générale
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT10,HT1022,01sep2020,Protection générale
ASF Canada,Avocats Sans Frontières Canada,ONG Internationale,HT08,HT0811,01jun2024,Protection générale
MOFKA/AID,MOBIIZASYON FANM KONBATAN AYITI/AKSYON IJANS AK DEVELOPMAN,ONG Nationale,HT10,HT1025,01sep2020,Protection générale
TF,TEARFUND,ONG Internationale,HT01,HT0121,01sep2020,Protection générale
FNUAP,FONDS DES NATIONS UNIES POUR LA POPULATION,Nations Unies,HT10,HT1025,01sep2020,Protection générale
CRS,Catholic Relief Services,ONG Internationale,HT08,HT0811,01feb2025,Protection générale
AVSI,ASSOCIAZIONE VOLONTARI PER IL SERVIZIO INTERNAZIONALE,ONG Internationale,HT09,HT0934,01sep2020,Protection générale
OVDDHMO,Organisation des Visionnaires Devoues pour un Developpement de Haute Modernisation,ONG Nationale,HT05,HT0521,01feb2024,Protection générale
COMPASSION,COMPASSION INTERNATIONAL,ONG Internationale,HT09,HT0931,01sep2020,Protection générale
FTB,FONDATION TERRE BLEUE,ONG Nationale,HT10,HT1023,11may2023,Protection générale
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT01,HT0142,01sep2020,Protection générale
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT03,HT0322,01sep2020,Protection générale
SCH,SERVICE CHRETIEN D'HAITI,ONG Nationale,HT10,HT1014,24jun2022,Protection générale
COMPASSION,COMPASSION INTERNATIONAL,ONG Internationale,HT01,HT0118,01sep2020,Protection générale
FOSILA,FONDATION SIMONE LABBÉE,Autre Type,HT10,HT1021,01sep2020,Protection générale
CICR,Comité International de la Croix-Rouge,Mouvement Croix-Rouge,HT01,HT0112,01feb2025,Protection générale
VESH,VILLAGES D'ENFANTS SOS D'HAÏTI,ONG Nationale,HT03,HT0311,11may2023,Protection générale
RNVPDLH,RESEAU NATIONAL DES VOLONTAIRES POUR LA PROMOTION DU DEVELOPPEMENT LOCAL EN HAITI,ONG Nationale,HT04,HT0411,11may2023,Protection générale
WVI-H,WORLD VISION INTERNATIONAL-HAITI,ONG Internationale,HT03,HT0311,01sep2020,Protection générale
ACTED,ACTED,ONG Internationale,HT08,HT0831,01feb2024,Protection générale
FNUAP,FONDS DES NATIONS UNIES POUR LA POPULATION,Nations Unies,HT09,HT0922,01sep2020,Protection générale
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT06,HT0642,01sep2020,Protection générale
ASF Canada,Avocats Sans Frontières Canada,ONG Internationale,HT05,HT0531,01feb2025,Protection générale
ACTED,Agence d'Aide à la Coopération Technique et au Développement,ONG Internationale,HT01,HT0135,01sep2024,Protection générale
ALIANZA,ALIANZA POR LA SOLIDARIDAD,ONG Internationale,HT02,HT0232,24jun2022,Protection générale
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT07,HT0723,01sep2020,Protection générale
FNUAP,FONDS DES NATIONS UNIES POUR LA POPULATION,Nations Unies,HT03,HT0332,01sep2020,Protection générale
OVDDHMO,Organisation des Visionnaires Dévoués pour un Développement de Haute Modernisation,ONG Nationale,HT08,HT0822,01sep2024,Protection générale
MDM CH,MÉDECINS DU MONDE SUISSE,ONG Internationale,HT01,HT0118,11may2023,Protection générale
FZT,Fondation Zanmi Timoun ,ONG Nationale,HT06,HT0632,01feb2025,Protection générale
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT06,HT0633,01sep2020,Protection générale
ICDH,INITIATIVE CITOYENNE POUR LES DROITS DE L'HOMME,ONG Nationale,HT03,HT0371,01sep2020,Protection générale
ACTED,ACTED,ONG Internationale,HT06,HT0623,01feb2024,Protection générale
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT07,HT0732,01sep2020,Protection générale
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT10,HT1025,24jun2022,Protection générale
TOYA,FONDATION TOYA,Société Civile,HT01,HT0121,01sep2020,Protection générale
RNVPDLH,RESEAU NATIONAL DES VOLONTAIRES POUR LA PROMOTION DU DEVELOPPEMENT LOCAL EN HAITI,ONG Nationale,HT09,HT0911,11may2023,Protection générale
OIM,ORGANIZATION INTERNATIONALE POUR LES MIGRATIONS,Nations Unies,HT07,HT0711,24jun2022,Protection générale
APADEH,Action Pastorale pour le Developpement Humain,ONG Nationale,HT01,HT0131,01sep2024,Protection générale
CAPEH,Cercle d'Appui pour la Protection des Enfants en Haiti,ONG Nationale,HT01,HT0131,10jul2019,Protection générale
CRNL,CROIX-ROUGE NÉERLANDAISE,Mouvement Croix-Rouge,HT07,HT0752,01sep2020,Protection générale
SOFA,Solidarite Fanm Ayisyèn,ONG Nationale,HT01,HT0117,10jul2019,Protection générale
URAMEL,Unité de Recherche et d'Action Médico-Légale,ONG Nationale,HT01,HT0113,10jul2019,Protection générale
CAPAC,CENTRE D'ANIMATION PAYSANNE ET D'ACTION COMMUNAUTAIRE,ONG Nationale,HT05,HT0523,24jun2022,Protection générale
ICDH,INITIATIVE CITOYENNE POUR LES DROITS DE L'HOMME,ONG Nationale,HT06,HT0611,01sep2020,Protection générale
SEROVIE,FONDATION SEROVIE,ONG Nationale,HT10,HT1014,11may2023,Protection générale
FOSILA,FONDATION SIMONE LABBÉE,Autre Type,HT07,HT0713,01sep2020,Protection générale
ACF,ACTION CONTRE LA FAIM,ONG Internationale,HT09,HT0921,01sep2020,Protection générale
HLD,HAÏTI EN LUTTE POUR LE DÉVELOPPEMENT,Société Civile,HT01,HT0116,01sep2020,Protection générale
ACF,ACTION CONTRE LA FAIM,ONG Internationale,HT05,HT0541,01sep2020,Protection générale
ACTED,AGENCE D'AIDE À LA COOPÉRATION TECHNIQUE ET AU DÉVELOPPEMENT,ONG Internationale,HT08,HT0831,01sep2020,Protection générale
HAGN,Haiti Adolescent Girls Network,ONG Nationale,HT01,HT0113,10jul2019,Protection générale
UNHCR,HAUT COMMISSARIAT DES NATIONS UNIES POUR LES REFUGIES,Nations Unies,HT02,HT0211,01sep2020,Protection générale
ACTED,Agence d'Aide à la Coopération Technique et au Développement,ONG Internationale,HT08,HT0814,01jun2024,Protection générale
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT03,HT0345,01sep2020,Protection générale
SEROVIE,FONDATION SEROVIE,ONG Nationale,HT03,HT0313,11may2023,Protection générale
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT08,HT0832,01sep2020,Protection générale
FNUAP,Fonds des Nations Unies pour la population,Nations Unies,HT07,HT0743,10jul2019,Protection générale
FZT,Fondation Zanmi Timoun ,ONG Nationale,HT10,HT1025,01jun2024,Protection générale
SHAA,SOCIÉTÉ HAÏTIENNE D’AIDE AUX AVEUGLES,ONG Nationale,HT09,HT0921,01sep2020,Protection générale
HLD,HAÏTI EN LUTTE POUR LE DÉVELOPPEMENT,Société Civile,HT09,HT0912,01sep2020,Protection générale
ICDH,INITIATIVE CITOYENNE POUR LES DROITS DE L'HOMME,ONG Nationale,HT03,HT0351,01sep2020,Protection générale
PAM,PROGRAMME ALIMENTAIRE MONDIAL,Nations Unies,HT08,HT0823,11may2023,Protection générale
CRS,Catholic Relief Services,ONG Internationale,HT07,HT0733,01jun2024,Protection générale
FZT,Fondation Zanmi Timoun ,ONG Nationale,HT10,HT1024,01feb2024,Protection générale
COMPASSION,COMPASSION INTERNATIONAL,ONG Internationale,HT07,HT0714,01sep2020,Protection générale
TF,TEARFUND,ONG Internationale,HT08,HT0822,01sep2020,Protection générale
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT03,HT0352,01sep2020,Protection générale
FNUAP,FONDS DES NATIONS UNIES POUR LA POPULATION,Nations Unies,HT01,HT0114,01sep2020,Protection générale
FNUAP,FONDS DES NATIONS UNIES POUR LA POPULATION,Nations Unies,HT02,HT0232,01sep2020,Protection générale
ACF,ACTION CONTRE LA FAIM,ONG Internationale,HT05,HT0542,01sep2020,Protection générale
FZT,Fondation Zanmi Timoun ,ONG Nationale,HT07,HT0742,01jun2024,Protection générale
POSEH,PLATEFORME DES ORGANISATIONS SOCIALES POUR L'EMERGENCE D'HAITI,ONG Nationale,HT04,HT0432,01sep2020,Protection générale
FNUAP,FONDS DES NATIONS UNIES POUR LA POPULATION,Nations Unies,HT09,HT0921,01sep2020,Protection générale
ACTED,Agence d'Aide à la Coopération Technique et au Développement,ONG Internationale,HT06,HT0633,01sep2024,Protection générale
HLD,HAÏTI EN LUTTE POUR LE DÉVELOPPEMENT,Société Civile,HT01,HT0111,01sep2020,Protection générale
FNUAP,Fonds des Nations Unies pour la population,Nations Unies,HT02,HT0231,10jul2019,Protection générale
SJM-HAITI,SERVICE JÉSUITE AUX MIGRANTS/SOLIDARITÉ FWONTALYE HAÏTI,ONG Nationale,HT02,HT0234,01sep2020,Protection générale
ASF Canada,Avocats Sans Frontières Canada,ONG Internationale,HT02,HT0232,01jun2024,Protection générale
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT08,HT0813,01sep2020,Protection générale
PESADEV,PERSPECTIVES POUR LA SANTÉ ET LE DÉVELOPPEMENT,ONG Nationale,HT08,HT0832,24jun2022,Protection générale
ASB,ARBEITER-SAMARITER-BUND DEUTSCHLAND E.V. (ASB),ONG Internationale,HT07,HT0733,11may2023,Protection générale
HAGN,Haiti Adolescent Girls Network,ONG Nationale,HT08,HT0812,10jul2019,Protection générale
SCH,SERVICE CHRETIEN D'HAITI,ONG Nationale,HT10,HT1023,24jun2022,Protection générale
TOYA,FONDATION TOYA,Société Civile,HT01,HT0112,01sep2020,Protection générale
RNVPDLH,RESEAU NATIONAL DES VOLONTAIRES POUR LA PROMOTION DU DEVELOPPEMENT LOCAL EN HAITI,ONG Nationale,HT03,HT0322,11may2023,Protection générale
CECI,CENTRE D'ETUDE ET COOPÉRATION INTERNATIONALE,ONG Internationale,HT04,HT0432,11may2023,Protection générale
AVSI,ASSOCIAZIONE VOLONTARI SERVIZIO INTERNAZIONALE,ONG Internationale,HT07,HT0711,24jun2022,Protection générale
ASB,ARBEITER-SAMARITER-BUND DEUTSCHLAND E.V. (ASB),ONG Internationale,HT01,HT0151,11may2023,Protection générale
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT03,HT0372,24jun2022,Protection générale
SHAA,SOCIÉTÉ HAÏTIENNE D’AIDE AUX AVEUGLES,ONG Nationale,HT01,HT0118,01sep2020,Protection générale
